"","Date","Close","Open","High","Low"
"1",2015-03-09,3302.408,3224.314,3307.702,3198.37
"2",2015-03-10,3286.068,3289.085,3309.915,3277.095
"3",2015-03-11,3290.9,3289.594,3325.054,3278.471
"4",2015-03-12,3349.323,3314.813,3360.054,3300.488
"5",2015-03-13,3372.911,3359.488,3391.255,3352.15
"6",2015-03-16,3449.305,3391.158,3449.305,3377.087
"7",2015-03-17,3502.847,3469.603,3504.123,3459.694
"8",2015-03-18,3577.301,3510.501,3577.662,3503.853
"9",2015-03-19,3582.271,3576.019,3600.684,3546.844
"10",2015-03-20,3617.318,3587.084,3632.338,3569.38
"11",2015-03-23,3687.728,3640.104,3688.249,3635.485
"12",2015-03-24,3691.41,3692.569,3715.873,3600.698
"13",2015-03-25,3660.727,3680.953,3693.151,3634.559
"14",2015-03-26,3682.095,3641.942,3707.318,3615.011
"15",2015-03-27,3691.096,3686.134,3710.477,3656.831
"16",2015-03-30,3786.568,3710.612,3795.935,3710.612
"17",2015-03-31,3747.899,3822.987,3835.567,3737.043
"18",2015-04-01,3810.294,3748.34,3817.082,3742.213
"19",2015-04-02,3825.784,3827.689,3835.451,3775.894
"20",2015-04-03,3863.929,3803.383,3864.405,3792.211
"21",2015-04-07,3961.378,3899.42,3961.666,3891.728
"22",2015-04-08,3994.811,3976.532,4000.22,3903.648
"23",2015-04-09,3957.534,4006.13,4016.396,3900.027
"24",2015-04-10,4034.31,3947.492,4040.348,3929.319
"25",2015-04-13,4121.715,4072.723,4128.072,4057.293
"26",2015-04-14,4135.565,4125.782,4168.346,4091.257
"27",2015-04-15,4084.163,4135.648,4175.494,4069.007
"28",2015-04-16,4194.823,4055.916,4195.305,4031.244
"29",2015-04-17,4287.296,4254.723,4317.223,4238.91
"30",2015-04-20,4217.077,4301.352,4356.001,4190.681
"31",2015-04-21,4293.623,4212.185,4294.375,4188.569
"32",2015-04-22,4398.494,4304.597,4400.193,4297.951
"33",2015-04-23,4414.508,4414.485,4444.41,4358.844
"34",2015-04-24,4393.686,4355.951,4416.376,4318.119
"35",2015-04-27,4527.396,4441.929,4529.735,4441.929
"36",2015-04-28,4476.215,4527.635,4572.391,4432.904
"37",2015-04-29,4476.62,4446.119,4499.945,4398.639
"38",2015-04-30,4441.655,4483.013,4507.344,4441.054
"39",2015-05-04,4480.464,4441.343,4487.57,4387.426
"40",2015-05-05,4298.706,4479.848,4488.865,4282.237
"41",2015-05-06,4229.266,4311.641,4376.353,4187.368
"42",2015-05-07,4112.214,4197.896,4213.764,4108.009
"43",2015-05-08,4205.917,4152.984,4206.86,4099.042
"44",2015-05-11,4333.584,4231.271,4334.877,4187.82
"45",2015-05-12,4401.219,4342.37,4402.309,4317.975
"46",2015-05-13,4375.76,4402.378,4415.629,4342.481
"47",2015-05-14,4378.311,4372.816,4397.745,4329.042
"48",2015-05-15,4308.691,4366.822,4366.822,4278.553
"49",2015-05-18,4283.491,4277.895,4324.826,4260.509
"50",2015-05-19,4417.552,4285.777,4418.403,4285.777
"51",2015-05-20,4446.288,4434.979,4520.538,4432.279
"52",2015-05-21,4529.422,4456.435,4530.478,4438.258
"53",2015-05-22,4657.596,4584.984,4658.273,4562.989
"54",2015-05-25,4813.798,4660.075,4814.672,4656.825
"55",2015-05-26,4910.897,4854.85,4911.685,4779.075
"56",2015-05-27,4941.714,4932.846,4958.156,4857.056
"57",2015-05-28,4620.266,4943.742,4986.503,4614.241
"58",2015-05-29,4611.744,4603.465,4698.193,4431.563
"59",2015-06-01,4828.738,4633.098,4829.502,4615.231
"60",2015-06-02,4910.527,4844.704,4911.574,4797.552
"61",2015-06-03,4909.978,4924.381,4942.065,4822.442
"62",2015-06-04,4947.102,4912.945,4947.965,4647.407
"63",2015-06-05,5023.096,5016.088,5051.626,4898.068
"64",2015-06-08,5131.881,5045.694,5146.949,4997.481
"65",2015-06-09,5113.534,5145.978,5147.454,5042.963
"66",2015-06-10,5106.036,5049.197,5164.162,5001.489
"67",2015-06-11,5121.593,5101.44,5122.457,5050.765
"68",2015-06-12,5166.35,5143.343,5178.191,5103.401
"69",2015-06-15,5062.993,5174.418,5176.795,5048.742
"70",2015-06-16,4887.432,5004.412,5029.684,4842.1
"71",2015-06-17,4967.898,4890.551,4983.658,4767.216
"72",2015-06-18,4785.356,4942.52,4966.767,4780.873
"73",2015-06-19,4478.364,4689.929,4744.081,4476.501
"74",2015-06-23,4576.492,4471.613,4577.939,4264.772
"75",2015-06-24,4690.15,4604.579,4691.768,4552.129
"76",2015-06-25,4527.779,4711.763,4720.701,4483.548
"77",2015-06-26,4192.873,4399.933,4456.896,4139.53
"78",2015-06-29,4053.03,4289.771,4297.475,3875.05
"79",2015-06-30,4277.222,4006.754,4279.969,3847.88
"80",2015-07-01,4053.7,4214.15,4317.053,4043.367
"81",2015-07-02,3912.767,4058.624,4080.387,3795.253
"82",2015-07-03,3686.915,3793.712,3927.128,3629.556
"83",2015-07-06,3775.912,3975.214,3975.214,3653.037
"84",2015-07-07,3727.125,3654.778,3750.57,3585.399
"85",2015-07-08,3507.192,3467.399,3599.253,3421.525
"86",2015-07-09,3709.33,3432.454,3748.479,3373.54
"87",2015-07-10,3877.803,3707.458,3959.22,3677.435
"88",2015-07-13,3970.388,3918.99,4030.195,3858.637
"89",2015-07-14,3924.487,3958.373,4035.435,3855.56
"90",2015-07-15,3805.703,3874.968,3914.273,3741.25
"91",2015-07-16,3823.176,3758.505,3877.514,3688.442
"92",2015-07-17,3957.352,3831.421,3994.477,3814.147
"93",2015-07-20,3992.11,3948.421,4021.326,3927.121
"94",2015-07-21,4017.675,3939.898,4041.819,3912.801
"95",2015-07-22,4026.045,3996.427,4042.338,3960.864
"96",2015-07-23,4123.923,4022.268,4132.612,4019.038
"97",2015-07-24,4070.908,4124.755,4184.449,4044.831
"98",2015-07-27,3725.558,3985.57,4051.159,3720.444
"99",2015-07-28,3663.002,3573.143,3762.526,3537.358
"100",2015-07-29,3789.168,3689.825,3792.072,3612.064
"101",2015-07-30,3705.766,3773.788,3844.374,3685.956
"102",2015-07-31,3663.726,3655.667,3729.512,3620.165
"103",2015-08-03,3622.905,3614.99,3648.943,3549.496
"104",2015-08-04,3756.545,3621.855,3757.029,3601.289
"105",2015-08-05,3694.573,3745.646,3782.352,3676.39
"106",2015-08-06,3661.539,3625.504,3710.57,3614.742
"107",2015-08-07,3744.205,3692.614,3756.74,3686.3
"108",2015-08-10,3928.415,3786.033,3943.624,3775.854
"109",2015-08-11,3927.908,3928.808,3970.337,3891.179
"110",2015-08-12,3886.32,3881.228,3937.772,3871.136
"111",2015-08-13,3954.556,3869.911,3955.789,3838.159
"112",2015-08-14,3965.335,3976.405,4000.684,3939.835
"113",2015-08-17,3993.668,3947.844,3994.537,3907.399
"114",2015-08-18,3748.164,3999.134,4006.337,3743.394
"115",2015-08-19,3794.109,3646.803,3811.427,3558.383
"116",2015-08-20,3664.291,3754.567,3788.005,3663.607
"117",2015-08-21,3507.744,3609.959,3652.837,3490.54
"118",2015-08-24,3209.905,3373.478,3388.364,3191.879
"119",2015-08-25,2964.967,3004.126,3123.034,2947.944
"120",2015-08-26,2927.288,2980.794,3092.041,2850.714
"121",2015-08-27,3083.591,2978.03,3085.422,2906.49
"122",2015-08-28,3232.35,3125.264,3235.839,3102.945
"123",2015-08-31,3205.986,3203.559,3207.862,3109.163
"124",2015-09-01,3166.624,3157.832,3180.331,3053.738
"125",2015-09-02,3160.167,3027.678,3194.485,3019.087
"126",2015-09-07,3080.42,3149.38,3217.579,3066.304
"127",2015-09-08,3170.452,3054.444,3174.709,3011.117
"128",2015-09-09,3243.089,3182.552,3256.743,3165.696
"129",2015-09-10,3197.893,3190.553,3243.281,3178.904
"130",2015-09-11,3200.234,3189.479,3223.762,3163.449
"131",2015-09-14,3114.798,3221.165,3229.482,3049.23
"132",2015-09-15,3005.172,3043.805,3081.703,2983.92
"133",2015-09-16,3152.263,2998.036,3182.934,2983.535
"134",2015-09-17,3086.061,3131.982,3204.702,3085.314
"135",2015-09-18,3097.917,3100.28,3122.048,3070.336
"136",2015-09-21,3156.54,3072.094,3159.883,3060.856
"137",2015-09-22,3185.619,3161.318,3213.476,3152.481
"138",2015-09-23,3115.888,3137.723,3164.041,3104.744
"139",2015-09-24,3142.687,3126.491,3151.165,3109.691
"140",2015-09-25,3092.347,3130.851,3149.948,3062.995
"141",2015-09-28,3100.756,3085.567,3103.069,3042.31
"142",2015-09-29,3038.137,3055.218,3068.298,3021.157
"143",2015-09-30,3052.781,3052.841,3073.3,3039.742
"144",2015-10-08,3143.357,3156.075,3172.281,3133.127
"145",2015-10-09,3183.152,3146.644,3192.717,3137.788
"146",2015-10-12,3287.662,3193.54,3318.714,3188.407
"147",2015-10-13,3293.23,3262.156,3298.626,3253.249
"148",2015-10-14,3262.441,3280.02,3307.315,3256.253
"149",2015-10-15,3338.073,3255.032,3338.297,3254.392
"150",2015-10-16,3391.352,3358.297,3393.018,3334.854
"151",2015-10-19,3386.7,3401.627,3423.402,3355.566
"152",2015-10-20,3425.33,3377.547,3425.516,3357.861
"153",2015-10-21,3320.676,3428.561,3447.258,3265.436
"154",2015-10-22,3368.739,3292.291,3373.776,3282.993
"155",2015-10-23,3412.434,3377.548,3422.022,3360.218
"156",2015-10-26,3429.581,3448.649,3457.517,3402
"157",2015-10-27,3434.336,3409.137,3441.565,3332.616
"158",2015-10-28,3375.196,3417.011,3439.758,3367.231
"159",2015-10-29,3387.315,3387.774,3411.714,3362.509
"160",2015-10-30,3382.561,3380.284,3417.201,3346.591
"161",2015-11-02,3325.085,3337.578,3391.064,3322.312
"162",2015-11-03,3316.695,3330.316,3346.275,3302.184
"163",2015-11-04,3459.64,3325.619,3459.646,3325.619
"164",2015-11-05,3522.819,3459.215,3585.657,3455.525
"165",2015-11-06,3590.032,3514.436,3596.382,3508.827
"166",2015-11-09,3646.881,3588.498,3673.76,3588.498
"167",2015-11-10,3640.485,3617.396,3669.533,3607.891
"168",2015-11-11,3650.249,3635.004,3654.877,3605.621
"169",2015-11-12,3632.902,3656.817,3659.315,3603.228
"170",2015-11-13,3580.839,3600.764,3632.556,3564.809
"171",2015-11-16,3606.957,3522.461,3607.612,3519.421
"172",2015-11-17,3604.795,3629.977,3678.273,3598.068
"173",2015-11-18,3568.468,3605.061,3617.069,3558.697
"174",2015-11-19,3617.062,3573.776,3618.213,3561.044
"175",2015-11-20,3630.5,3620.791,3640.529,3607.915
"176",2015-11-23,3610.315,3630.867,3654.754,3598.871
"177",2015-11-24,3616.113,3602.887,3616.484,3563.104
"178",2015-11-25,3647.93,3614.068,3648.367,3607.518
"179",2015-11-26,3635.552,3659.574,3668.376,3629.865
"180",2015-11-27,3436.303,3616.544,3621.897,3412.427
"181",2015-11-30,3445.405,3433.855,3470.371,3327.812
"182",2015-12-01,3456.309,3442.441,3483.414,3417.545
